timestamp,feed_flow,steam_flow,cooling_water,reactor_pressure,reactor_temp,product_quality,ambient_temp
2026-01-01 00:00:00,100.0,28.0,62.0,1.21,72.0,91.0,15.0
2026-01-01 00:05:00,101.0,28.2,62.1,1.22,72.1,91.1,15.0
2026-01-01 00:10:00,102.0,28.4,62.2,1.23,72.4,91.2,15.1
2026-01-01 00:15:00,103.0,28.8,62.5,1.24,72.9,91.4,15.1
2026-01-01 00:20:00,104.0,29.1,62.9,1.24,73.4,91.7,15.2
2026-01-01 00:25:00,105.0,29.4,63.2,1.25,74.0,92.1,15.2
2026-01-01 00:30:00,106.0,29.8,63.8,1.26,74.8,92.5,15.3
2026-01-01 00:35:00,106.5,30.1,64.2,1.27,75.4,92.9,15.3
2026-01-01 00:40:00,107.0,30.4,64.6,1.27,76.0,93.1,15.4
2026-01-01 00:45:00,106.8,30.7,65.0,1.28,76.5,93.3,15.4
2026-01-01 00:50:00,106.2,30.9,65.4,1.28,76.8,93.4,15.5
2026-01-01 00:55:00,105.5,31.0,65.8,1.27,77.0,93.5,15.5
2026-01-01 01:00:00,104.8,30.8,66.0,1.26,76.9,93.4,15.6
2026-01-01 01:05:00,104.0,30.5,66.1,1.25,76.7,93.2,15.6
2026-01-01 01:10:00,103.5,30.2,66.0,1.24,76.3,92.9,15.6
2026-01-01 01:15:00,103.0,29.8,65.7,1.24,75.9,92.6,15.7
2026-01-01 01:20:00,102.5,29.4,65.2,1.23,75.3,92.3,15.7
2026-01-01 01:25:00,102.0,29.0,64.8,1.22,74.8,92.0,15.8
2026-01-01 01:30:00,101.5,28.7,64.4,1.22,74.3,91.7,15.8
2026-01-01 01:35:00,101.0,28.4,64.0,1.21,73.9,91.5,15.8
2026-01-01 01:40:00,100.5,28.2,63.7,1.20,73.5,91.3,15.9
2026-01-01 01:45:00,100.0,28.0,63.3,1.20,73.1,91.1,15.9
2026-01-01 01:50:00,99.8,27.9,63.0,1.19,72.8,90.9,16.0
2026-01-01 01:55:00,99.5,27.8,62.8,1.19,72.6,90.8,16.0
2026-01-01 02:00:00,99.4,27.9,62.5,1.19,72.5,90.8,16.1
2026-01-01 02:05:00,99.6,28.0,62.4,1.20,72.6,90.9,16.1
2026-01-01 02:10:00,100.0,28.2,62.5,1.20,72.9,91.0,16.1
2026-01-01 02:15:00,100.8,28.6,62.8,1.21,73.4,91.2,16.2
2026-01-01 02:20:00,101.5,29.0,63.2,1.22,74.1,91.5,16.2
2026-01-01 02:25:00,102.2,29.5,63.7,1.23,74.9,91.9,16.3
2026-01-01 02:30:00,103.0,30.0,64.3,1.24,75.8,92.4,16.3
2026-01-01 02:35:00,103.8,30.5,64.9,1.25,76.6,92.8,16.4
2026-01-01 02:40:00,104.5,31.0,65.5,1.26,77.4,93.2,16.4
2026-01-01 02:45:00,105.0,31.4,66.0,1.27,78.0,93.5,16.5
2026-01-01 02:50:00,105.4,31.7,66.5,1.28,78.5,93.8,16.5
2026-01-01 02:55:00,105.6,31.8,66.9,1.28,78.8,94.0,16.6
2026-01-01 03:00:00,105.5,31.7,67.0,1.28,78.9,94.0,16.6
2026-01-01 03:05:00,105.2,31.5,66.8,1.27,78.7,93.9,16.6
2026-01-01 03:10:00,104.8,31.1,66.4,1.27,78.3,93.7,16.7
2026-01-01 03:15:00,104.2,30.7,66.0,1.26,77.8,93.4,16.7
2026-01-01 03:20:00,103.5,30.2,65.5,1.25,77.1,93.0,16.8
2026-01-01 03:25:00,102.8,29.7,65.0,1.24,76.4,92.6,16.8
2026-01-01 03:30:00,102.0,29.2,64.5,1.23,75.6,92.2,16.9
2026-01-01 03:35:00,101.2,28.8,64.0,1.22,74.9,91.8,16.9
2026-01-01 03:40:00,100.6,28.4,63.6,1.21,74.3,91.5,17.0
2026-01-01 03:45:00,100.1,28.1,63.2,1.20,73.8,91.2,17.0
2026-01-01 03:50:00,99.8,27.9,62.9,1.20,73.5,91.0,17.1
2026-01-01 03:55:00,99.7,27.8,62.7,1.19,73.3,90.9,17.1

